title;accepted;description;boothArea;invitesQuantity;text;staffTopicKnowledge;eventAdequacy;inviteAdequacy;recommendation;decision;name;email;username;password;text2;staffTopicKnowledge2;eventAdequacy2;inviteAdequacy2;recommendation2;decision2;name2;email2;username2;password2;topics
exhibition1;true;Description: 15886;158;86;text0153;0;1;5;3;accepted;Staff1;staff1@centre.pt;staff1@centre.pt;password;text5103;5;1;0;3;accepted;Staff2;staff2@centre.pt;staff2@centre.pt;password;Crabby,Memory,Attract,Natural
exhibition1;false;Description: 65158;65;158;text0303;0;3;0;3;accepted;Staff1;staff1@centre.pt;staff1@centre.pt;password;text1301;1;3;0;1;rejected;Staff2;staff2@centre.pt;staff2@centre.pt;password;Interest,Plot,Smiling,Interest
exhibition1;false;Description: 140190;140;190;text0453;0;4;5;3;accepted;Staff1;staff1@centre.pt;staff1@centre.pt;password;text1442;1;4;4;2;rejected;Staff2;staff2@centre.pt;staff2@centre.pt;password;Interest,Cynical,Structure,Birthday
exhibition1;true;Description: 218163;218;163;text3003;3;0;0;3;accepted;Staff1;staff1@centre.pt;staff1@centre.pt;password;text5005;5;0;0;5;accepted;Staff2;staff2@centre.pt;staff2@centre.pt;password;Powder,Birthday,Descriptive,Dirt
exhibition1;false;Description: 27911;279;11;text4114;4;1;1;4;accepted;Staff1;staff1@centre.pt;staff1@centre.pt;password;text4000;4;0;0;0;rejected;Staff2;staff2@centre.pt;staff2@centre.pt;password;Memory,Smiling,Road,Store
exhibition1;true;Description: 291123;291;123;text5515;5;5;1;5;accepted;Staff1;staff1@centre.pt;staff1@centre.pt;password;text1134;1;1;3;4;accepted;Staff2;staff2@centre.pt;staff2@centre.pt;password;Plot,Inform,Birthday,Place
exhibition1;false;Description: 210234;210;234;text3504;3;5;0;4;accepted;Staff1;staff1@centre.pt;staff1@centre.pt;password;text1425;1;4;2;5;accepted;Staff2;staff2@centre.pt;staff2@centre.pt;password;Chop,Bent,Ruddy,Aware
exhibition1;false;Description: 40148;40;148;text1514;1;5;1;4;accepted;Staff1;staff1@centre.pt;staff1@centre.pt;password;text1345;1;3;4;5;accepted;Staff2;staff2@centre.pt;staff2@centre.pt;password;Blow,Memory,Psychotic,Ruddy
exhibition1;true;Description: 204120;204;120;text2240;2;2;4;0;rejected;Staff1;staff1@centre.pt;staff1@centre.pt;password;text5132;5;1;3;2;rejected;Staff2;staff2@centre.pt;staff2@centre.pt;password;Place,Testy,Circle,Shirt
exhibition1;true;Description: 4453;44;53;text0215;0;2;1;5;accepted;Staff1;staff1@centre.pt;staff1@centre.pt;password;text1053;1;0;5;3;accepted;Staff2;staff2@centre.pt;staff2@centre.pt;password;Natural,Shirt,Shirt,Probable
exhibition1;false;Description: 165132;165;132;text3034;3;0;3;4;accepted;Staff1;staff1@centre.pt;staff1@centre.pt;password;text3133;3;1;3;3;accepted;Staff2;staff2@centre.pt;staff2@centre.pt;password;Deer,Righteous,Natural,Shirt
exhibition1;false;Description: 6155;61;55;text1405;1;4;0;5;accepted;Staff1;staff1@centre.pt;staff1@centre.pt;password;text4145;4;1;4;5;accepted;Staff2;staff2@centre.pt;staff2@centre.pt;password;Aware,Cynical,Ruddy,Probable
exhibition1;true;Description: 286246;286;246;text0142;0;1;4;2;rejected;Staff1;staff1@centre.pt;staff1@centre.pt;password;text5042;5;0;4;2;rejected;Staff2;staff2@centre.pt;staff2@centre.pt;password;Descriptive,Natural,Inform,Spiteful
exhibition1;true;Description: 211239;211;239;text1050;1;0;5;0;rejected;Staff1;staff1@centre.pt;staff1@centre.pt;password;text0344;0;3;4;4;accepted;Staff2;staff2@centre.pt;staff2@centre.pt;password;Natural,Cynical,Aware,Crabby
exhibition1;false;Description: 14011;140;11;text4212;4;2;1;2;rejected;Staff1;staff1@centre.pt;staff1@centre.pt;password;text4120;4;1;2;0;rejected;Staff2;staff2@centre.pt;staff2@centre.pt;password;Veil,Plain,Agonizing,Veil
exhibition1;false;Description: 273239;273;239;text4522;4;5;2;2;rejected;Staff1;staff1@centre.pt;staff1@centre.pt;password;text0025;0;0;2;5;accepted;Staff2;staff2@centre.pt;staff2@centre.pt;password;Testy,Closed,Dirt,Memory
exhibition1;true;Description: 299157;299;157;text4541;4;5;4;1;rejected;Staff1;staff1@centre.pt;staff1@centre.pt;password;text5254;5;2;5;4;accepted;Staff2;staff2@centre.pt;staff2@centre.pt;password;Closed,Ruddy,Memory,Spy
exhibition1;false;Description: 144185;144;185;text4251;4;2;5;1;rejected;Staff1;staff1@centre.pt;staff1@centre.pt;password;text0102;0;1;0;2;rejected;Staff2;staff2@centre.pt;staff2@centre.pt;password;Attract,Store,Treat,Psychotic
exhibition1;false;Description: 210128;210;128;text1131;1;1;3;1;rejected;Staff1;staff1@centre.pt;staff1@centre.pt;password;text3221;3;2;2;1;rejected;Staff2;staff2@centre.pt;staff2@centre.pt;password;Righteous,Complete,Terrific,Harmonious
exhibition1;true;Description: 59165;59;165;text2405;2;4;0;5;accepted;Staff1;staff1@centre.pt;staff1@centre.pt;password;text3535;3;5;3;5;accepted;Staff2;staff2@centre.pt;staff2@centre.pt;password;Cloudy,Complete,Ruddy,Inform
exhibition1;false;Description: 89172;89;172;text2000;2;0;0;0;rejected;Staff1;staff1@centre.pt;staff1@centre.pt;password;text1240;1;2;4;0;rejected;Staff2;staff2@centre.pt;staff2@centre.pt;password;Natural,Grain,Dirt,Agonizing
exhibition1;false;Description: 90231;90;231;text4433;4;4;3;3;accepted;Staff1;staff1@centre.pt;staff1@centre.pt;password;text0035;0;0;3;5;accepted;Staff2;staff2@centre.pt;staff2@centre.pt;password;Crabby,Dirt,Natural,Plot
exhibition1;true;Description: 113146;113;146;text4053;4;0;5;3;accepted;Staff1;staff1@centre.pt;staff1@centre.pt;password;text0145;0;1;4;5;accepted;Staff2;staff2@centre.pt;staff2@centre.pt;password;Attract,Attract,Inform,Birthday
exhibition1;false;Description: 296238;296;238;text3433;3;4;3;3;accepted;Staff1;staff1@centre.pt;staff1@centre.pt;password;text3550;3;5;5;0;rejected;Staff2;staff2@centre.pt;staff2@centre.pt;password;Terrific,Crabby,Deer,Structure
exhibition1;true;Description: 110177;110;177;text1450;1;4;5;0;rejected;Staff1;staff1@centre.pt;staff1@centre.pt;password;text4203;4;2;0;3;accepted;Staff2;staff2@centre.pt;staff2@centre.pt;password;Righteous,Blow,Ruddy,Treat
exhibition1;true;Description: 254176;254;176;text1125;1;1;2;5;accepted;Staff1;staff1@centre.pt;staff1@centre.pt;password;text2412;2;4;1;2;rejected;Staff2;staff2@centre.pt;staff2@centre.pt;password;Testy,Treat,Agonizing,Donkey
exhibition1;true;Description: 188110;188;110;text2411;2;4;1;1;rejected;Staff1;staff1@centre.pt;staff1@centre.pt;password;text5231;5;2;3;1;rejected;Staff2;staff2@centre.pt;staff2@centre.pt;password;Attract,Massive,Structure,Shop
exhibition1;true;Description: 26190;261;90;text5321;5;3;2;1;rejected;Staff1;staff1@centre.pt;staff1@centre.pt;password;text0320;0;3;2;0;rejected;Staff2;staff2@centre.pt;staff2@centre.pt;password;Shirt,Smiling,Circle,Interest
